,n_estimators,max_leaf_nodes,max_features,train_size,train_time,test_time,train_score,test_score
524,9,3,39,49914,0.648485,0.0637039999999,0.473264149972,0.473604869039
525,32,2,97,9,0.0110849999999,0.177014,0.334667576391,0.646796994053
526,2,7,39,7,0.00155199999995,0.031043,0.420382693537,0.548550679011
527,34,10,11,254,0.0162750000002,0.220618,0.424744838268,0.467305643252
528,5,3,2,3,0.00188200000002,0.0395619999999,0.538601391637,0.560928425783
529,13,2,1,10,0.00447800000006,0.0746280000001,0.335250368829,0.542409363953
530,22,14,26,41,0.0114860000001,0.158007,0.160141742949,0.492132327496
531,73,2,3,55,0.022948,0.367529,0.454039792982,0.553688202049
532,6,2,2,3245,0.00744899999995,0.0418770000001,0.539741840134,0.536333184477
533,44,13,66,3,0.0142430000001,0.236603,0.272016353177,0.55791723811
534,90,5,10,431,0.0409709999999,0.520494,0.467353150441,0.487001678987
535,8,11,53,5125,0.10125,0.062989,0.417462643156,0.417147160349
536,1,3,3,37,0.000598000000082,0.021107,0.377717518468,0.539008429689
537,26,2,17,1,0.00852499999996,0.122638,2.6645352591e-15,0.568174981207
538,1,18,56,11,0.000600999999961,0.0222529999999,0.262668791659,0.747667130802
539,3,10,29,1,0.0011579999998,0.0275960000001,0.0,0.561400367715
540,1,5,42,1168,0.00389200000018,0.0214169999999,0.483386911067,0.479980217164
541,1,10,2,111,0.000810999999885,0.021665,0.503259439895,0.606500733173
542,3,7,85,18626,0.249693,0.0328259999999,0.44364364376,0.444788613983
543,65,9,42,771,0.090027,0.413811,0.402560649024,0.441794284342
544,1,18,1,1370,0.0028769999999,0.0241470000001,0.511319622769,0.534628185668
545,11,2,30,2,0.00392000000011,0.062212,0.242520467619,0.580915408058
546,7,2,33,45800,0.322504,0.056587,0.489758352218,0.489293416024
547,21,10,43,2911,0.103874,0.151453,0.417772421277,0.425020560701
548,2,2,4,13042,0.0226560000001,0.024813,0.52996493972,0.530729447373
549,82,10,1,2504,0.0469450000001,0.508775,0.523550797238,0.522130709005
550,47,3,65,242,0.0293490000001,0.26116,0.448855820542,0.471392373015
551,11,11,4,848,0.00747999999999,0.0797550000002,0.464566563854,0.483460926112
552,1,2,2,1988,0.00342699999987,0.0205309999999,0.534821945565,0.540483291553
553,57,5,1,27843,0.185179,0.342938,0.529467917583,0.527728815856
554,19,3,32,5,0.00637000000006,0.108156,0.214712149472,0.558552145976
555,2,9,34,35,0.00106300000016,0.027705,0.269665462053,0.670321772967
556,1,8,45,609,0.00207300000011,0.021849,0.450596184978,0.485238855737
557,3,12,3,103,0.00136399999997,0.0373,0.411417599812,0.528860532625
558,44,2,21,11,0.0146480000001,0.222452,0.47689400963,0.529830195382
559,88,2,75,384,0.0613490000001,0.438881,0.488747607365,0.480669337829
560,15,2,64,293,0.00928199999998,0.084709,0.447917980078,0.485850747864
561,8,11,37,1,0.00276200000008,0.045388,0.0,0.539458934182
562,81,6,129,8316,2.827993,0.489562,0.440468360333,0.44658500477
563,56,8,14,3,0.0276349999999,0.286223,0.0980496154165,0.554348210836
564,5,8,68,162,0.0039720000002,0.0448249999999,0.358410351249,0.482489063015
565,20,13,3,16,0.00904800000012,0.147242,0.260271547965,0.559173776451
566,1,7,6,13351,0.021602,0.0218380000001,0.468700832081,0.470310380902
567,73,8,1,19356,0.193369,0.46563,0.526213123014,0.522520809805
568,56,17,16,436,0.0382960000002,0.380834,0.379053762227,0.43765081143
569,54,8,25,2,0.017026,0.265842,0.0956871549339,0.549372167426
570,2,8,36,22,0.00101399999994,0.0306849999999,0.264013619525,0.556449929281
571,10,19,24,2,0.003469,0.056376,0.215127862248,0.72930546901
572,60,13,5,22531,0.642001,0.406154,0.475881390384,0.469930294235
573,87,7,114,559,0.188212,0.524877,0.399983307398,0.443632833935
574,3,9,16,9,0.00127999999995,0.03287,0.384318002228,0.997361037345
575,31,2,82,1056,0.0509140000001,0.164315,0.495722391208,0.483082327787
576,7,2,31,4,0.00252399999999,0.046542,0.127539302578,0.664593225002
577,3,9,5,55,0.00134600000001,0.0372850000001,0.291738950245,0.543248595989
578,11,3,57,10,0.00397399999997,0.0738699999999,0.202497847433,0.598122937596
579,1,4,70,22,0.000671000000011,0.0274010000001,0.217686846323,0.553932288435
580,13,19,124,45821,8.038612,0.104515,0.392081711914,0.394298265149
581,20,3,35,4,0.00663899999995,0.112349,0.0901163810408,0.553428983949
582,1,6,2,312,0.00101199999995,0.0220240000001,0.505303344359,0.541587994586
583,6,2,2,1,0.00213699999995,0.038951,0.0,0.538221007071
584,1,3,1,2505,0.00476999999978,0.0208640000001,0.535339824294,0.537288097445
585,1,3,5,1,0.000551000000087,0.0206699999999,0.0,0.58671456651
586,86,7,2,38,0.027576,0.521326,0.390659744676,0.520632460296
587,19,14,43,2,0.0063889999999,0.0959489999998,0.104218607523,0.558510960768
588,1,6,29,16,0.000605000000178,0.022843,0.336790455609,0.604811233524
589,4,3,7,7,0.00151800000003,0.035014,0.306039176032,0.583975543447
590,1,2,41,49956,0.110762,0.0214249999999,0.5307581226,0.533114890612
591,1,6,12,156,0.000745000000052,0.021708,0.496164444462,0.525043299879
592,3,4,6,155,0.00140899999997,0.0316009999999,0.479226092537,0.560522467351
593,1,6,1,2,0.000563000000056,0.0212849999998,0.0,0.574570857881
594,11,5,6,32,0.0072540000001,0.0757720000001,0.407272634686,0.526489461525
595,3,4,45,5939,0.03341,0.031326,0.474559163805,0.463265080375
596,32,9,12,1682,0.0353250000001,0.215595,0.458040336774,0.467280237713
597,83,11,136,28517,24.823789,0.553122,0.418466444061,0.417142034934
598,3,7,1,678,0.00234999999998,0.0320430000002,0.539858560368,0.529510234959
599,1,2,2,1,0.00086199999987,0.0253189999999,0.0,0.678922971416
600,38,14,10,16,0.0127299999999,0.256738,0.184751125934,0.56633112754
601,4,7,4,452,0.00205400000004,0.0373239999999,0.469618982994,0.50183309017
602,60,4,23,9,0.019542,0.36208,0.196799740823,0.631674445934
603,1,16,3,602,0.000980000000027,0.0220959999999,0.498602068241,0.571376415941
604,3,17,16,73,0.00165900000002,0.034551,0.255285392961,0.559664700335
605,26,7,74,2063,0.118894,0.16199,0.441769805216,0.444627010063
606,85,8,4,742,0.0395860000001,0.517365,0.483636152551,0.494781948886
607,71,2,29,85,0.025339,0.359157,0.416190982957,0.520635889189
608,82,3,37,15,0.0298889999999,0.455743,0.223386660275,0.510263068153
609,1,3,6,3,0.00060499999995,0.021045,0.0875751373327,0.558229753039
610,3,15,14,15364,0.0668130000001,0.0354419999999,0.433050445572,0.433625483368
611,1,3,92,643,0.00251900000012,0.020976,0.48452362471,0.487788427324
612,1,3,36,258,0.00111900000002,0.0207339999999,0.478430004981,0.536338091575
613,23,2,22,186,0.00900500000012,0.125091,0.469677626678,0.521656539781
614,2,7,4,7,0.000915000000077,0.0273979999999,0.182277268497,0.557596051592
615,16,6,101,38,0.00760400000013,0.106309,0.260750529609,0.531178245003
616,11,13,17,2,0.00373500000001,0.0595799999999,0.262394412475,0.942558795842
617,11,5,12,11899,0.088432,0.074736,0.502495183016,0.502772239297
618,54,4,16,13,0.0176840000001,0.319593,0.206057088149,0.597044023037
619,3,4,14,1,0.00120199999992,0.027785,0.0,1.05840173014
620,2,3,58,46,0.00102700000002,0.0256700000002,0.516182995643,0.509567316614
621,12,8,25,4,0.00411800000006,0.0788539999999,0.0978980260489,0.573754169609
622,16,10,43,10,0.00568300000009,0.110245,0.218884398411,0.568628510364
623,11,5,2,53736,0.174919,0.0770639999998,0.529088888918,0.526719747306
624,76,5,1,13313,0.121857,0.430142,0.529208071027,0.531002120522
625,48,10,77,1776,0.27177,0.325976,0.398551804044,0.42567790069
626,3,2,7,4,0.00124100000016,0.0360039999998,0.350639744402,0.538626982691
627,2,3,61,6656,0.026298,0.028681,0.486105782073,0.487640642053
628,47,6,54,348,0.0408229999998,0.296914,0.412475609198,0.453893012788
629,1,2,1,1,0.000561000000062,0.0221740000002,0.0,0.797351625681
630,6,11,41,237,0.00490300000001,0.0531100000001,0.401689671791,0.452672200966
631,69,5,1,716,0.0266449999999,0.394066,0.49791798187,0.527426581464
632,2,6,10,1,0.000887000000148,0.0257340000001,0.0,0.67341909558
633,60,3,56,169,0.030647,0.338143,0.453679083099,0.489909601405
634,92,3,2,318,0.0319950000001,0.507502,0.55835546449,0.529125354446
635,7,15,15,1611,0.013283,0.063075,0.419291739352,0.435169899914
636,6,2,1,7165,0.0143559999999,0.041815,0.538235752353,0.534126104143
637,9,15,6,5,0.00326599999994,0.0620369999999,0.226071810484,0.685071437268
638,13,13,68,572,0.036026,0.0973339999998,0.356355651047,0.431575641824
639,29,3,1,14746,0.0529179999999,0.170792,0.518362989598,0.525743263795
640,1,3,28,4272,0.00824999999986,0.020814,0.522121805205,0.52837933866
641,2,12,1,10891,0.018744,0.027425,0.523151937693,0.528159651951
642,71,8,54,284,0.063457,0.479074,0.380286393456,0.447262417428
643,26,2,7,131,0.010274,0.138765,0.469839419201,0.53473073966
644,91,2,12,5,0.0358100000001,0.454473,0.263951794271,0.531103867322
645,26,9,5,45694,0.566932,0.179517,0.474150877034,0.476124061815
646,2,2,4,3,0.000907999999981,0.0250610000001,0.155924578712,0.891586493091
647,7,2,9,3027,0.009591,0.049755,0.525414153437,0.528129330707
648,18,5,2,12435,0.0499689999999,0.119234,0.522326649805,0.523369951728
649,29,11,23,4,0.0174569999999,0.165863,0.0579296685767,0.640891334323
650,15,4,5,783,0.0081990000001,0.0914420000001,0.529768310653,0.516350706622
651,3,2,41,30310,0.124234,0.030168,0.485337418436,0.486348295625
652,4,2,10,1054,0.003964,0.033087,0.529317455517,0.532072699939
653,1,18,16,9820,0.0251290000001,0.022201,0.462725794326,0.466690617834
654,24,10,11,13857,0.241034,0.172238,0.452082154173,0.454205226879
655,61,3,105,2,0.021479,0.281651,0.146229722905,0.647459842578
656,16,6,1,873,0.00906299999997,0.0972710000001,0.525542830912,0.533649332989
657,58,6,1,5,0.0187559999999,0.323064,0.183818972245,0.581568084502
